,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
263,Starokozache,0,UA,1560443520,42,46.34,29.99,80.6,11.18
264,Broken Hill,57,AU,1560443522,76,-31.97,141.45,48.2,4.7
265,Kieta,99,PG,1560443523,74,-6.22,155.63,82.88,7.7
266,Barreirinhas,34,BR,1560443524,84,-2.75,-42.83,82.52,3.67
267,Hovd,40,NO,1560443525,52,63.83,10.7,66.99,13.87
268,Ipixuna,75,BR,1560443526,66,-1.76,-48.8,87.8,9.17
269,Talnakh,75,RU,1560443527,93,69.49,88.39,39.2,11.18
270,Kuna,1,US,1560443529,50,43.49,-116.42,78.01,4.7
271,Faanui,37,PF,1560443530,75,-16.48,-151.75,81.62,22.59
272,Buraydah,20,SA,1560443531,19,26.33,43.97,105.8,8.05
273,Rehli,29,IN,1560443533,40,23.64,79.06,93.86,15.84
274,Meulaboh,71,ID,1560443534,70,4.14,96.13,82.88,5.86
275,San Buenaventura,0,MX,1560443535,36,27.06,-101.55,83.96,9.8
276,Hamilton,75,BM,1560443321,78,32.3,-64.78,82.4,11.41
277,Borgarnes,75,IS,1560443537,62,64.54,-21.92,64.0,16.11
278,Poum,20,MK,1560443538,54,41.28,20.71,82.4,3.36
279,Kirakira,66,SB,1560443540,81,-10.46,161.92,78.74,8.46
280,Ambilobe,100,MG,1560443541,62,-13.19,49.05,74.24,8.1
281,Moranbah,0,AU,1560443542,87,-22.0,148.04,61.28,6.4
282,Backa Topola,0,RS,1560443543,59,45.82,19.63,82.7,2.66
283,Francistown,0,BW,1560443544,20,-21.17,27.5,66.2,4.7
284,Puerto Rondon,99,CO,1560443546,89,6.28,-71.1,81.62,4.27
285,Sovetskiy,0,RU,1560443547,70,56.76,48.47,48.14,6.31
286,Ostrovnoy,1,RU,1560443548,67,68.05,39.51,42.74,9.8
287,Seoul,1,KR,1560443549,77,37.57,126.98,69.8,1.12
288,Cairns,90,AU,1560443550,83,-16.92,145.77,71.6,11.41
289,Sri Aman,100,MY,1560443552,94,1.24,111.46,75.2,2.24
290,Algiers,1,US,1560443553,51,29.94,-90.04,88.0,4.7
291,Klaksvik,99,FO,1560443554,75,62.23,-6.59,46.4,31.09
292,Peniche,20,PT,1560443555,59,39.36,-9.38,69.01,17.22
293,Eureka,90,US,1560443416,100,40.8,-124.16,62.01,5.82
294,Nicoya,40,CR,1560443558,74,10.15,-85.45,86.0,5.82
295,Taoudenni,100,ML,1560443559,8,22.68,-3.98,106.46,10.04
296,Toro,75,CO,1560443560,69,4.61,-76.08,78.8,6.93
297,Prokopyevsk,85,RU,1560443561,82,53.89,86.74,62.0,12.95
298,Acapulco,75,MX,1560443403,79,16.86,-99.88,84.2,3.36
299,Koumac,1,NC,1560443564,70,-20.56,164.28,71.36,6.93
300,Viedma,100,AR,1560443565,78,-40.81,-62.99,56.42,13.73
301,Inhambane,40,MZ,1560443566,78,-23.87,35.38,73.4,18.34
302,Ca Mau,91,VN,1560443567,79,9.18,105.15,82.52,3.87
303,Sobolevo,16,RU,1560443569,86,54.43,31.9,65.06,9.1
304,Vostok,100,RU,1560443570,95,46.45,135.83,54.26,6.76
305,San-Pedro,59,CI,1560443571,79,4.75,-6.64,77.84,4.43
306,Capinopolis,0,BR,1560443572,43,-18.68,-49.57,84.86,9.13
307,Petauke,54,ZM,1560443573,51,-14.25,31.33,69.02,6.17
308,Adrar,24,DZ,1560443575,8,27.87,-0.29,105.8,23.04
309,Zhaoyang,100,CN,1560443576,97,42.68,126.03,58.58,8.28
310,Port Lincoln,96,AU,1560443577,72,-34.72,135.86,61.82,20.22
311,Tura,53,IN,1560443578,66,25.52,90.21,85.4,3.49
312,Agadez,1,NE,1560443387,15,16.97,7.99,104.0,12.75
313,Salinopolis,21,BR,1560443580,71,-0.61,-47.36,83.6,11.21
314,Goderich,100,CA,1560443582,86,43.74,-81.71,63.0,15.88
315,Zhangye,100,CN,1560443583,47,38.94,100.46,63.98,18.14
316,Mendoza,20,AR,1560443353,44,-32.89,-68.84,57.2,64.42
317,Aklavik,75,CA,1560443585,65,68.22,-135.01,41.0,3.36
318,Alice Springs,2,AU,1560443376,58,-23.7,133.88,53.6,3.36
319,Mount Gambier,90,AU,1560443587,93,-37.83,140.78,48.2,10.29
320,Vila Franca do Campo,75,PT,1560443588,68,37.72,-25.43,68.0,11.41
321,Awbari,17,LY,1560443590,7,26.59,12.77,101.78,9.75
322,Ankara,40,TR,1560443305,64,39.92,32.85,75.2,5.82
323,Neftcala,0,AZ,1560443592,37,39.37,49.25,81.62,6.91
324,Ambanja,98,MG,1560443593,71,-13.68,48.45,80.0,4.52
325,Gravdal,75,NO,1560443594,63,59.79,5.78,62.01,19.46
326,Hay River,40,CA,1560443595,55,60.82,-115.79,64.4,10.29
327,Carndonagh,75,IE,1560443597,71,55.25,-7.27,51.8,13.87
328,Qasigiannguit,40,GL,1560443598,66,68.82,-51.19,48.2,9.17
329,Naron,20,ES,1560443599,59,43.52,-8.15,62.01,8.05
330,Sarasota,75,US,1560443364,66,27.34,-82.53,91.0,11.41
331,Moose Factory,1,CA,1560443601,66,51.26,-80.61,50.0,6.93
332,Ocampo,100,PH,1560443602,79,13.56,123.37,84.86,9.13
333,La Serena,20,CL,1560443406,59,-29.9,-71.25,60.8,5.82
334,Andradina,21,BR,1560443605,40,-20.89,-51.38,87.2,11.18
335,Palana,0,RU,1560443606,72,59.08,159.95,46.52,6.93
336,Dawei,100,MM,1560443607,81,14.07,98.19,81.98,7.65
337,Roald,75,NO,1560443608,72,62.58,6.12,69.8,6.93
338,Pinyug,42,RU,1560443609,68,60.25,47.79,49.4,6.13
339,Atar,19,MR,1560443611,13,20.52,-13.05,99.08,10.04
340,Baker City,1,US,1560443612,53,44.77,-117.83,79.0,3.36
341,Basco,1,US,1560443613,45,40.33,-91.2,66.0,12.75
342,Makakilo City,20,US,1560443614,78,21.35,-158.09,78.8,3.36
343,Padang,100,ID,1560443616,58,-0.92,100.36,84.32,4.61
344,Kaoma,0,ZM,1560443617,41,-14.8,24.8,62.54,6.42
345,Colac,63,AU,1560443618,97,-38.34,143.59,48.99,1.01
346,Kangalassy,75,RU,1560443620,81,62.35,129.97,44.6,6.71
347,Alamosa,1,US,1560443621,39,37.47,-105.87,70.0,10.18
348,Komsomolskiy,97,RU,1560443622,83,67.55,63.78,30.86,11.27
349,Batsfjord,0,NO,1560443623,75,70.63,29.72,44.6,13.87
350,La Rioja,63,AR,1560443624,90,-29.41,-66.86,59.48,8.05
351,Hammerfest,0,NO,1560443626,70,70.66,23.68,46.4,12.75
352,Naliya,89,IN,1560443627,55,23.26,68.83,90.44,25.52
353,Mosquera,75,CO,1560443420,67,4.71,-74.23,62.6,4.7
354,Storm Lake,1,US,1560443404,39,42.64,-95.21,66.99,3.36
355,Chimore,100,BO,1560443630,60,-16.98,-65.13,82.88,2.8
356,La Ronge,75,CA,1560443631,93,55.1,-105.3,55.4,10.29
357,Maniago,20,IT,1560443633,20,46.17,12.71,87.01,10.29
358,Lagoa,20,PT,1560443634,60,37.14,-8.45,69.8,18.34
359,Sept-Iles,75,CA,1560443635,36,50.2,-66.38,68.0,10.29
360,Vanavara,54,RU,1560443637,71,60.35,102.28,60.02,4.99
361,Port Hardy,90,CA,1560443638,93,50.7,-127.42,53.6,3.36
362,Rudnyy,0,KZ,1560443367,46,52.96,63.12,53.6,13.42
363,Nova Vicosa,47,BR,1560443640,78,-17.89,-39.37,78.56,6.33
364,Iqaluit,90,CA,1560443641,80,63.75,-68.52,41.0,4.7
365,Colon,1,US,1560443642,37,41.3,-96.61,73.99,6.93
366,Anage,40,BR,1560443644,57,-14.61,-41.14,75.2,17.22
367,Monterey,75,US,1560443488,77,36.6,-121.89,62.6,5.82
368,Newport,100,GB,1560443644,100,51.59,-3.0,60.01,14.99
369,Narsaq,20,GL,1560443647,38,60.91,-46.05,59.0,8.05
370,Bayir,20,TR,1560443648,31,37.27,28.22,91.4,12.75
371,Usinsk,100,RU,1560443650,88,66.0,57.56,35.0,19.84
372,Tondon,75,GN,1560443651,81,10.37,-13.36,80.72,6.08
373,Maceio,90,BR,1560443489,83,-9.67,-35.74,78.8,17.22
374,Vila Velha,75,BR,1560443653,74,-3.71,-38.6,84.2,12.75
375,Boca do Acre,17,BR,1560443654,53,-8.76,-67.39,89.72,2.08
376,Quang Ngai,96,VN,1560443655,69,15.12,108.8,80.54,4.05
377,Kasongo-Lunda,5,CD,1560443656,33,-6.48,16.82,74.24,3.33
378,Boende,33,CD,1560443658,56,-0.28,20.88,78.02,2.04
379,Mitu,0,IR,1560443659,18,36.2,46.09,68.3,8.63
380,College,1,US,1560443660,76,64.86,-147.8,64.0,7.38
381,Arman,0,RU,1560443661,91,59.7,150.17,39.68,2.37
382,Bowen,75,AU,1560443662,93,-20.01,148.25,66.0,8.05
383,Pasighat,13,IN,1560443663,94,28.06,95.33,70.46,3.2
384,Ngunguru,1,NZ,1560443665,95,-35.62,174.5,48.0,11.18
385,Arroyo,90,US,1560443666,100,41.39,-78.88,62.01,5.82
386,Helong,0,CN,1560443667,97,25.94,116.13,65.42,1.41
387,Tarakan,85,ID,1560443668,81,3.3,117.63,80.54,3.11
388,Feijo,90,EC,1560443670,88,-3.63,-79.92,89.6,8.88
389,Cordoba,85,CO,1560443671,59,5.59,-73.79,76.04,2.35
390,Yumen,100,CN,1560443672,44,40.29,97.04,67.76,28.36
391,Pombas,0,BR,1560443673,31,-15.9,-54.74,90.26,6.78
392,Northam,40,GB,1560443674,77,51.04,-4.21,61.0,9.17
393,Kyren,100,RU,1560443676,80,51.68,102.13,47.42,5.32
394,Sao Filipe,100,CV,1560443677,87,14.9,-24.5,73.34,14.9
395,Bubaque,98,GW,1560443678,80,11.28,-15.83,80.0,11.25
396,Tazovskiy,100,RU,1560443659,83,67.47,78.7,34.46,21.88
397,Sabang,100,PH,1560443680,78,13.72,123.58,84.68,11.25
398,Coquimbo,20,CL,1560443681,59,-29.95,-71.34,60.8,5.82
399,Volchansk,93,RU,1560443683,66,59.94,60.08,39.68,6.64
400,Marion,1,US,1560443614,56,35.21,-90.2,77.0,9.17
401,San Pedro de Macoris,40,DO,1560443685,58,18.46,-69.3,90.0,9.17
402,Lubaczow,6,PL,1560443686,76,50.16,23.12,75.86,6.6
403,Seydi,94,NE,1560443687,25,13.34,7.75,99.26,7.81
404,Bambanglipuro,16,ID,1560443689,85,-7.95,110.28,80.18,15.61
405,Torrijos,0,ES,1560443527,11,39.98,-4.28,84.2,9.17
406,Tucurui,99,BR,1560443499,48,-3.77,-49.67,90.08,5.91
407,Lebu,75,ET,1560443692,82,8.96,38.73,62.6,4.7
408,Mahuta,68,TZ,1560443694,67,-10.87,39.42,72.44,6.26
409,Grand-Lahou,67,CI,1560443695,72,5.24,-5.0,80.72,4.36
410,North Bend,90,US,1560443412,93,43.41,-124.22,59.0,6.93
411,Kokoda,96,PG,1560443697,68,-8.88,147.74,57.14,3.89
412,Seminole,40,US,1560443669,53,32.72,-102.64,79.0,12.75
413,Kontagora,100,NG,1560443699,47,10.4,5.47,89.0,4.76
414,Lat Yao,100,TH,1560443701,82,15.75,99.79,78.38,3.22
415,Saint-Francois,0,FR,1560443702,34,46.42,3.91,78.8,11.41
416,Guaratingueta,20,BR,1560443508,51,-22.82,-45.19,82.4,3.36
417,Mbanza-Ngungu,0,CD,1560443704,53,-5.25,14.87,77.84,4.25
418,Chulman,100,RU,1560443705,94,56.84,124.9,41.66,4.25
419,Bandarbeyla,99,SO,1560443707,38,9.49,50.81,91.16,14.58
420,Riyadh,0,SA,1560443680,9,24.63,46.72,102.2,6.93
421,Sochi,20,RU,1560443709,69,43.6,39.73,77.0,8.95
422,Dzidzantun,100,MX,1560443710,81,21.25,-89.05,82.52,6.89
423,Tailai,25,CN,1560443711,70,46.39,123.41,62.18,14.92
424,Coihaique,90,CL,1560443713,86,-45.58,-72.07,44.6,5.82
425,Narrabri,21,AU,1560443714,87,-30.33,149.78,55.0,6.93
426,Kaa-Khem,100,RU,1560443715,58,51.7,94.56,55.88,5.19
427,Alakurtti,100,RU,1560443716,43,66.96,30.34,57.99,1.01
428,Tual,100,ID,1560443717,83,-5.67,132.75,81.44,18.21
429,Pitharion,20,GR,1560443719,51,35.52,24.08,87.8,5.82
430,Lakhtar,100,IN,1560443720,66,22.86,71.79,86.3,28.23
431,Visby,0,SE,1560443721,88,57.64,18.3,66.99,8.05
432,Vanderhoof,0,CA,1560443722,36,54.02,-124.02,66.86,7.16
433,Puerto Narino,75,CO,1560443724,79,-3.77,-70.38,84.2,3.36
434,Sorland,0,NO,1560443725,66,67.67,12.69,66.2,16.11
435,Torrington,20,US,1560443726,43,42.06,-104.18,79.0,6.93
436,Black River,20,JM,1560443727,70,18.03,-77.85,87.8,16.11
437,Rosetta,0,EG,1560443728,61,31.4,30.42,80.6,10.29
438,Nouakchott,0,MR,1560443730,57,18.08,-15.98,78.8,20.8
439,Moron,66,VE,1560443731,40,10.49,-68.2,94.94,5.28
440,Mayor Pablo Lagerenza,100,PY,1560443732,29,-19.93,-60.77,94.04,18.16
441,Keningau,75,MY,1560443733,94,5.33,116.16,78.8,4.7
442,Te Anau,90,NZ,1560443734,96,-45.41,167.72,41.3,3.38
443,Puerto Escondido,100,MX,1560443736,41,15.86,-97.07,94.76,5.93
444,Antropovo,0,RU,1560443737,25,55.25,37.65,68.0,6.71
445,Aykhal,0,RU,1560443738,49,65.95,111.51,48.2,6.71
446,Sungairaya,100,ID,1560443740,75,0.7,108.9,83.42,8.79
447,Porto Novo,20,BR,1560443741,54,-23.68,-45.44,80.6,2.24
448,Voh,0,NC,1560443743,73,-20.95,164.69,70.1,10.02
449,Talara,0,PE,1560443744,290,-4.58,-81.27,62.6,18.34
450,Soyo,75,AO,1560443745,78,-6.13,12.37,80.6,6.93
451,Saurimo,0,AO,1560443746,26,-9.66,20.4,84.2,5.7
452,Rabat,75,MA,1560443747,64,34.02,-6.83,68.0,17.22
453,Beyneu,51,KZ,1560443749,14,45.32,55.19,93.32,19.91
454,Ciamis,94,ID,1560443750,95,-7.33,108.35,71.0,2.66
455,Dingle,92,PH,1560443751,82,11.0,122.67,78.38,3.89
456,Ternate,40,PH,1560443752,83,14.29,120.72,84.2,4.7
457,Santa Fe,94,AR,1560443754,79,-31.62,-60.7,77.0,1.01
458,Mopipi,0,BW,1560443755,16,-21.2,24.86,63.98,6.64
459,Tortona,0,IT,1560443756,56,44.9,8.86,84.0,4.7
460,Musoma,97,TZ,1560443757,67,-1.5,33.81,76.04,6.08
461,Teya,90,MX,1560443759,83,21.05,-89.07,88.0,6.93
462,Pathein,100,MM,1560443760,88,16.78,94.73,82.52,10.74
463,Semirom,0,IR,1560443761,14,31.41,51.57,63.98,4.03
464,Syrskoye,0,RU,1560443762,39,52.57,39.53,66.2,11.18
465,Dole,0,FR,1560443763,35,47.09,5.49,78.01,5.82
466,Cayenne,75,GF,1560443765,70,4.94,-52.33,86.0,8.05
467,Naryan-Mar,99,RU,1560443766,80,67.67,53.09,35.72,19.98
468,Dongsheng,0,CN,1560443767,66,29.72,112.52,72.62,5.75
469,Mecca,4,SA,1560443769,34,21.43,39.83,90.26,12.8
470,Westport,75,IE,1560443770,100,53.8,-9.52,55.0,9.17
471,Ritchie,0,ZA,1560443771,43,-29.03,24.6,50.0,3.36
472,Carutapera,20,BR,1560443772,86,-1.2,-46.02,82.88,4.99
473,Kenai,20,US,1560443773,87,60.55,-151.26,55.0,4.7
474,West Sacramento,1,US,1560443612,57,38.58,-121.53,80.6,3.36
475,Muravlenko,52,RU,1560443776,57,63.79,74.5,37.34,6.51
476,Altamira,75,BR,1560443777,62,-3.2,-52.21,89.6,3.36
477,Ucluelet,88,CA,1560443778,91,48.94,-125.55,70.0,7.0
478,Port Blair,100,IN,1560443779,82,11.67,92.75,84.5,22.32
479,Batemans Bay,46,AU,1560443781,73,-35.71,150.18,48.99,4.0
480,Wilmington,90,US,1560443758,82,39.75,-75.55,70.0,8.05
481,Itoman,75,JP,1560443668,88,26.12,127.67,77.0,14.99
482,Sokoni,23,CD,1560443784,59,-12.89,28.78,60.92,5.66
483,Labuhan,16,ID,1560443785,95,-2.54,115.51,72.44,1.14
484,Palmer,75,AU,1560443787,87,-34.85,139.16,57.2,9.17
485,Korfovskiy,90,RU,1560443788,100,48.22,135.06,51.8,17.9
486,Fairbanks,1,US,1560443772,76,64.84,-147.72,62.01,7.38
487,Muros,75,ES,1560443790,76,42.77,-9.06,64.0,9.17
488,Ambunti,100,PG,1560443791,94,-4.22,142.82,74.6,0.83
489,High Prairie,100,CA,1560443716,65,55.43,-116.48,64.52,11.48
490,Pingliang,85,CN,1560443793,59,35.54,106.68,56.24,3.65
491,Kruisfontein,0,ZA,1560443795,72,-34.0,24.73,48.32,4.5
492,Kabompo,0,ZM,1560443796,41,-13.6,24.21,63.62,4.76
493,Gisborne,100,NZ,1560443797,97,-38.66,178.02,55.0,8.93
494,Sorong,48,ID,1560443798,96,-0.86,131.25,76.4,2.13
495,Taguatinga,40,BR,1560443800,39,-15.83,-48.06,78.8,18.34
496,Gizo,20,IL,1560443801,69,31.8,34.94,79.0,11.41
497,Nhulunbuy,90,AU,1560443710,83,-12.18,136.78,73.4,3.36
498,Namatanai,100,PG,1560443803,87,-3.66,152.44,78.02,9.17
499,Kavaratti,99,IN,1560443804,79,10.57,72.64,85.04,21.23
500,Jiangkou,31,CN,1560443805,95,30.7,117.56,62.72,3.87
501,Vao,34,EE,1560443807,94,59.1,26.19,65.96,7.94
502,Kutum,1,SD,1560443808,16,14.2,24.66,90.98,9.46
503,Cabo San Lucas,5,MX,1560443771,69,22.89,-109.91,95.0,3.36
504,Buala,81,SB,1560443810,82,-8.15,159.59,81.44,12.01
505,Mahibadhoo,53,MV,1560443811,79,3.78,72.97,83.78,9.64
506,Alofi,100,NU,1560443813,100,-19.06,-169.92,71.6,13.87
507,Helena,1,US,1560443705,43,46.59,-112.04,73.99,13.09
508,Tezu,67,IN,1560443815,68,27.93,96.16,78.2,4.25
509,Dubbo,90,AU,1560443816,100,-32.25,148.6,46.4,4.7
510,Punta Alta,0,AR,1560443817,42,-27.46,-55.82,84.2,10.29
511,Hofn,20,IS,1560443818,62,64.25,-15.21,51.8,19.46
512,Fayaoue,4,NC,1560443820,72,-20.65,166.53,71.36,18.68
513,Ribeira Brava,40,PT,1560443821,52,32.65,-17.07,69.8,13.87
514,Cranbrook,40,CA,1560443822,43,49.51,-115.76,69.8,3.36
515,Ibra,100,OM,1560443823,21,22.69,58.55,92.96,6.76
516,Santa Maria,0,BR,1560443654,45,-29.69,-53.81,84.2,17.22
517,Nakamura,20,JP,1560443826,78,35.17,136.87,71.6,9.17
518,Ballsh,0,AL,1560443828,67,40.6,19.74,75.14,0.63
519,Oriximina,94,BR,1560443613,55,-1.77,-55.87,90.98,7.34
520,Mayo,75,CA,1560443830,93,63.59,-135.9,48.2,3.36
521,Santa Ana,75,SV,1560443832,74,13.99,-89.56,78.8,4.7
522,Karamadai,40,IN,1560443833,83,11.24,76.96,77.0,11.41
523,Carauari,43,BR,1560443834,51,-4.88,-66.9,91.16,2.89
524,High Level,90,CA,1560443835,48,58.52,-117.13,66.2,5.82
525,Sikeston,1,US,1560443797,43,36.88,-89.59,73.4,4.7
526,Novomykolayivka,10,UA,1560443838,71,48.54,32.26,71.9,6.53
527,Ati,74,TD,1560443839,23,13.21,18.34,101.96,6.2
528,Puerto Colombia,20,CO,1560443840,70,10.99,-74.96,89.01,4.7
